city,cases,tests,population,prop_pop,prop_incid
Aliso Viejo,3,55,52966,0.016483955950248742,0.007654804657816688
Anaheim,53,333,377138,0.11737201561690348,0.15904144054564398
Brea,2,29,44993,0.01400261734073824,0.008221580631558065
Buena Park,16,75,82670,0.025728366091588253,0.04672884298391009
Corona Del Mar,0,11,12540,0.00390266978091831,0
Costa Mesa,17,126,117128,0.036452305111594883,0.04187139931053425
Cypress,2,34,49551,0.015421147552973141,0.007722925993949174
Dana Point,0,18,26930,0.008381092280712129,0
Foothill Ranch,0,10,10793,0.003358972483688303,0
Fountain Valley,7,71,57354,0.01784957915588427,0.014982413338648201
Fullerton,11,117,143913,0.0447882708278546,0.035849674846285075
Garden Grove,18,162,180376,0.05613620130804793,0.053102456693188825
Huntington Beach,17,213,198471,0.06176768533402216,0.04197055835478939
Irvine,31,296,264975,0.08246490631569611,0.07352808491435535
La Habra,7,38,70485,0.021936178589156866,0.03440246158043302
La Palma,0,9,16309,0.005075649238994954,0
Ladera Ranch,2,26,32279,0.010045795682477043,0.006578927350216718
Laguna Beach,1,12,25316,0.007878786935703982,0.0055897477781610425
Laguna Hills,4,26,29183,0.009082265726996734,0.011895835488173393
Laguna Niguel,1,51,67124,0.02089017594691871,0.003487273613165186
Laguna Woods,3,12,16999,0.005290389442251224,0.011260087195563229
Lake Forest,5,61,65142,0.02027334249350722,0.014147497588447919
Los Alamitos,2,22,22367,0.006961005980047834,0.005387576174067195
Midway City,0,3,8618,0.0026820740169022327,0
Mission Viejo,5,97,96863,0.030145478707263976,0.013229229688148315
Newport Beach,4,55,65398,0.020353014221092158,0.012602019283109812
Newport Coast,0,9,12157,0.003783473407226786,0
Orange,24,192,147897,0.04602816208839516,0.04898326713224939
Placentia,3,51,54323,0.01690627834998607,0.00846668097050112
Rancho Santa Margarita,4,45,45484,0.014155425224504659,0.010712343727471506
San Clemente,4,37,75130,0.023381784740063208,0.021520384531431333
San Juan Capistrano,4,45,37978,0.011819425274299487,0.008944538520840577
Santa Ana,59,325,358874,0.11168793580201576,0.17261916720966422
Seal Beach,5,22,25125,0.00781934435770116,0.015129750455295559
Stanton,3,16,31557,0.009821096513272657,0.015677447421777256
Trabuco Canyon,1,25,33336,0.01037475277645078,0.0035330668086479985
Tustin,15,103,85861,0.026721461727227034,0.033130527267963374
Villa Park,2,11,5864,0.001824980509992422,0.002824942699935623
Westminster,10,79,92938,0.02892394929019026,0.031170559810480447
Yorba Linda,5,52,70780,0.022027987806491067,0.018032485433576755
